Parameter,Value
Latitude Min,30.0285
Latitude Max,30.5015
Longitude Min,-99.85499999999999
Longitude Max,-99.745
Grid Resolution,50.0
Grid Points,2500.0
Year of Interest,2025.0
Storativity,0.0003336938208
Transmissivity,7.400467799999999e-5
