shape,value
"POLYGON ((-99.85612244897959 30.313265306122453, -99.85387755102039 30.313265306122453, -99.85387755102039 30.322918367346936, -99.85612244897959 30.322918367346936, -99.85612244897959 30.313265306122453))",0.00013290258863284422
"POLYGON ((-99.85612244897959 30.322918367346944, -99.85387755102039 30.322918367346944, -99.85387755102039 30.332571428571427, -99.85612244897959 30.332571428571427, -99.85612244897959 30.322918367346944))",2.6533411322049573e-5
"POLYGON ((-99.85612244897959 30.332571428571427, -99.85387755102039 30.332571428571427, -99.85387755102039 30.342224489795917, -99.85612244897959 30.342224489795917, -99.85612244897959 30.332571428571427))",3.758012086954871e-6
"POLYGON ((-99.85612244897959 30.342224489795917, -99.85387755102039 30.342224489795917, -99.85387755102039 30.351877551020408, -99.85612244897959 30.351877551020408, -99.85612244897959 30.342224489795917))",3.795521965198293e-7
"POLYGON ((-99.85612244897959 30.351877551020408, -99.85387755102039 30.351877551020408, -99.85387755102039 30.3615306122449, -99.85612244897959 30.3615306122449, -99.85612244897959 30.351877551020408))",2.7437004914625065e-8
"POLYGON ((-99.85612244897959 30.3615306122449, -99.85387755102039 30.3615306122449, -99.85387755102039 30.37118367346939, -99.85612244897959 30.37118367346939, -99.85612244897959 30.3615306122449))",1.5067085389477762e-9
"POLYGON ((-99.85612244897959 30.37118367346939, -99.85387755102039 30.37118367346939, -99.85387755102039 30.38083673469388, -99.85612244897959 30.38083673469388, -99.85612244897959 30.37118367346939))",4.1735892585307e-9
"POLYGON ((-99.85612244897959 30.38083673469388, -99.85387755102039 30.38083673469388, -99.85387755102039 30.390489795918363, -99.85612244897959 30.390489795918363, -99.85612244897959 30.38083673469388))",1.4762260455492876e-7
"POLYGON ((-99.85612244897959 30.39048979591837, -99.85387755102039 30.39048979591837, -99.85387755102039 30.400142857142853, -99.85612244897959 30.400142857142853, -99.85612244897959 30.39048979591837))",3.868629512382458e-6
"POLYGON ((-99.85612244897959 30.40014285714286, -99.85387755102039 30.40014285714286, -99.85387755102039 30.409795918367344, -99.85612244897959 30.409795918367344, -99.85612244897959 30.40014285714286))",7.440669783848752e-5
"POLYGON ((-99.85612244897959 30.40979591836735, -99.85387755102039 30.40979591836735, -99.85387755102039 30.419448979591834, -99.85612244897959 30.419448979591834, -99.85612244897959 30.40979591836735))",0.0010543731659441247
"POLYGON ((-99.85612244897959 30.41944897959184, -99.85387755102039 30.41944897959184, -99.85387755102039 30.429102040816325, -99.85612244897959 30.429102040816325, -99.85612244897959 30.41944897959184))",0.011057182719192626
"POLYGON ((-99.85612244897959 30.429102040816325, -99.85387755102039 30.429102040816325, -99.85387755102039 30.438755102040815, -99.85612244897959 30.438755102040815, -99.85612244897959 30.429102040816325))",0.08631347848551256
"POLYGON ((-99.85612244897959 30.438755102040815, -99.85387755102039 30.438755102040815, -99.85387755102039 30.448408163265306, -99.85612244897959 30.448408163265306, -99.85612244897959 30.438755102040815))",0.5073224801830926
"POLYGON ((-99.85612244897959 30.448408163265306, -99.85387755102039 30.448408163265306, -99.85387755102039 30.458061224489796, -99.85612244897959 30.458061224489796, -99.85612244897959 30.448408163265306))",2.3265888603736875
"POLYGON ((-99.85612244897959 30.458061224489796, -99.85387755102039 30.458061224489796, -99.85387755102039 30.467714285714287, -99.85612244897959 30.467714285714287, -99.85612244897959 30.458061224489796))",9.120399287751425
"POLYGON ((-99.85612244897959 30.467714285714287, -99.85387755102039 30.467714285714287, -99.85387755102039 30.477367346938777, -99.85612244897959 30.477367346938777, -99.85612244897959 30.467714285714287))",33.469997503865784
"POLYGON ((-99.85612244897959 30.477367346938777, -99.85387755102039 30.477367346938777, -99.85387755102039 30.48702040816326, -99.85612244897959 30.48702040816326, -99.85612244897959 30.477367346938777))",60.865598577431825
"POLYGON ((-99.85612244897959 30.487020408163268, -99.85387755102039 30.487020408163268, -99.85387755102039 30.49667346938775, -99.85612244897959 30.49667346938775, -99.85612244897959 30.487020408163268))",18.68466052761025
"POLYGON ((-99.85612244897959 30.49667346938776, -99.85387755102039 30.49667346938776, -99.85387755102039 30.50632653061224, -99.85612244897959 30.50632653061224, -99.85612244897959 30.49667346938776))",4.959114483633426
"POLYGON ((-99.85387755102039 30.02367346938776, -99.85163265306122 30.02367346938776, -99.85163265306122 30.033326530612243, -99.85387755102039 30.033326530612243, -99.85387755102039 30.02367346938776))",1.0327542560562662e-6
"POLYGON ((-99.85387755102039 30.033326530612243, -99.85163265306122 30.033326530612243, -99.85163265306122 30.042979591836733, -99.85387755102039 30.042979591836733, -99.85387755102039 30.033326530612243))",1.9110301566410452e-6
"POLYGON ((-99.85387755102039 30.042979591836733, -99.85163265306122 30.042979591836733, -99.85163265306122 30.052632653061224, -99.85387755102039 30.052632653061224, -99.85387755102039 30.042979591836733))",2.4794577979675275e-6
"POLYGON ((-99.85387755102039 30.052632653061224, -99.85163265306122 30.052632653061224, -99.85163265306122 30.062285714285714, -99.85387755102039 30.062285714285714, -99.85387755102039 30.052632653061224))",2.2532778342139126e-6
"POLYGON ((-99.85387755102039 30.062285714285714, -99.85163265306122 30.062285714285714, -99.85163265306122 30.071938775510205, -99.85387755102039 30.071938775510205, -99.85387755102039 30.062285714285714))",1.4348601515293003e-6
"POLYGON ((-99.85387755102039 30.071938775510205, -99.85163265306122 30.071938775510205, -99.85163265306122 30.081591836734695, -99.85387755102039 30.081591836734695, -99.85387755102039 30.071938775510205))",6.413451225862206e-7
"POLYGON ((-99.85387755102039 30.081591836734695, -99.85163265306122 30.081591836734695, -99.85163265306122 30.091244897959186, -99.85387755102039 30.091244897959186, -99.85387755102039 30.081591836734695))",2.01765299816063e-7
"POLYGON ((-99.85387755102039 30.091244897959186, -99.85163265306122 30.091244897959186, -99.85163265306122 30.10089795918367, -99.85387755102039 30.10089795918367, -99.85387755102039 30.091244897959186))",4.482177480706382e-8
"POLYGON ((-99.85387755102039 30.100897959183676, -99.85163265306122 30.100897959183676, -99.85163265306122 30.11055102040816, -99.85387755102039 30.11055102040816, -99.85387755102039 30.100897959183676))",7.054564104064672e-9
"POLYGON ((-99.85387755102039 30.110551020408167, -99.85163265306122 30.110551020408167, -99.85163265306122 30.12020408163265, -99.85387755102039 30.12020408163265, -99.85387755102039 30.110551020408167))",7.891002185569236e-10
"POLYGON ((-99.85387755102039 30.120204081632657, -99.85163265306122 30.120204081632657, -99.85163265306122 30.12985714285714, -99.85387755102039 30.12985714285714, -99.85387755102039 30.120204081632657))",6.289677442949556e-11
"POLYGON ((-99.85387755102039 30.129857142857148, -99.85163265306122 30.129857142857148, -99.85163265306122 30.13951020408163, -99.85387755102039 30.13951020408163, -99.85387755102039 30.129857142857148))",3.580106317080994e-12
"POLYGON ((-99.85387755102039 30.13951020408163, -99.85163265306122 30.13951020408163, -99.85163265306122 30.14916326530612, -99.85387755102039 30.14916326530612, -99.85387755102039 30.13951020408163))",1.4577186390526622e-13
"POLYGON ((-99.85387755102039 30.14916326530612, -99.85163265306122 30.14916326530612, -99.85163265306122 30.158816326530612, -99.85387755102039 30.158816326530612, -99.85387755102039 30.14916326530612))",4.614161507889629e-15
"POLYGON ((-99.85387755102039 30.158816326530612, -99.85163265306122 30.158816326530612, -99.85163265306122 30.168469387755103, -99.85387755102039 30.168469387755103, -99.85387755102039 30.158816326530612))",2.7305524916647313e-14
"POLYGON ((-99.85387755102039 30.168469387755103, -99.85163265306122 30.168469387755103, -99.85163265306122 30.178122448979593, -99.85387755102039 30.178122448979593, -99.85387755102039 30.168469387755103))",1.4675442216628723e-12
"POLYGON ((-99.85387755102039 30.178122448979593, -99.85163265306122 30.178122448979593, -99.85163265306122 30.187775510204084, -99.85387755102039 30.187775510204084, -99.85387755102039 30.178122448979593))",5.695165055835247e-11
"POLYGON ((-99.85387755102039 30.187775510204084, -99.85163265306122 30.187775510204084, -99.85163265306122 30.197428571428567, -99.85387755102039 30.197428571428567, -99.85387755102039 30.187775510204084))",1.5901396229197859e-9
"POLYGON ((-99.85387755102039 30.197428571428574, -99.85163265306122 30.197428571428574, -99.85163265306122 30.207081632653058, -99.85387755102039 30.207081632653058, -99.85387755102039 30.197428571428574))",3.1919455910836795e-8
"POLYGON ((-99.85387755102039 30.207081632653065, -99.85163265306122 30.207081632653065, -99.85163265306122 30.216734693877548, -99.85387755102039 30.216734693877548, -99.85387755102039 30.207081632653065))",4.600198289353464e-7
"POLYGON ((-99.85387755102039 30.216734693877555, -99.85163265306122 30.216734693877555, -99.85163265306122 30.22638775510204, -99.85387755102039 30.22638775510204, -99.85387755102039 30.216734693877555))",4.749129908547791e-6
"POLYGON ((-99.85387755102039 30.226387755102046, -99.85163265306122 30.226387755102046, -99.85163265306122 30.23604081632653, -99.85387755102039 30.23604081632653, -99.85387755102039 30.226387755102046))",3.499732632947295e-5
"POLYGON ((-99.85387755102039 30.23604081632653, -99.85163265306122 30.23604081632653, -99.85163265306122 30.24569387755102, -99.85387755102039 30.24569387755102, -99.85387755102039 30.23604081632653))",0.00018314875302372676
"POLYGON ((-99.85387755102039 30.24569387755102, -99.85163265306122 30.24569387755102, -99.85163265306122 30.25534693877551, -99.85387755102039 30.25534693877551, -99.85387755102039 30.24569387755102))",0.0006759449906312578
"POLYGON ((-99.85387755102039 30.25534693877551, -99.85163265306122 30.25534693877551, -99.85163265306122 30.265, -99.85387755102039 30.265, -99.85387755102039 30.25534693877551))",0.00174469042557904
"POLYGON ((-99.85387755102039 30.265, -99.85163265306122 30.265, -99.85163265306122 30.27465306122449, -99.85387755102039 30.27465306122449, -99.85387755102039 30.265))",0.003122306879554572
"POLYGON ((-99.85387755102039 30.27465306122449, -99.85163265306122 30.27465306122449, -99.85163265306122 30.28430612244898, -99.85387755102039 30.28430612244898, -99.85387755102039 30.27465306122449))",0.003847870853533638
"POLYGON ((-99.85387755102039 30.28430612244898, -99.85163265306122 30.28430612244898, -99.85163265306122 30.293959183673465, -99.85387755102039 30.293959183673465, -99.85387755102039 30.28430612244898))",0.0032563766620012312
"POLYGON ((-99.85387755102039 30.293959183673472, -99.85163265306122 30.293959183673472, -99.85163265306122 30.303612244897955, -99.85387755102039 30.303612244897955, -99.85387755102039 30.293959183673472))",0.001896699242247412
"POLYGON ((-99.85387755102039 30.303612244897963, -99.85163265306122 30.303612244897963, -99.85163265306122 30.313265306122446, -99.85387755102039 30.313265306122446, -99.85387755102039 30.303612244897963))",0.0007652838878111134
"POLYGON ((-99.85387755102039 30.313265306122453, -99.85163265306122 30.313265306122453, -99.85163265306122 30.322918367346936, -99.85387755102039 30.322918367346936, -99.85387755102039 30.313265306122453))",0.0002157337920770868
"POLYGON ((-99.85387755102039 30.322918367346944, -99.85163265306122 30.322918367346944, -99.85163265306122 30.332571428571427, -99.85387755102039 30.332571428571427, -99.85387755102039 30.322918367346944))",4.2851890388781294e-5
"POLYGON ((-99.85387755102039 30.332571428571427, -99.85163265306122 30.332571428571427, -99.85163265306122 30.342224489795917, -99.85387755102039 30.342224489795917, -99.85387755102039 30.332571428571427))",6.04047852169431e-6
"POLYGON ((-99.85387755102039 30.342224489795917, -99.85163265306122 30.342224489795917, -99.85163265306122 30.351877551020408, -99.85387755102039 30.351877551020408, -99.85387755102039 30.342224489795917))",6.07495529375217e-7
"POLYGON ((-99.85387755102039 30.351877551020408, -99.85163265306122 30.351877551020408, -99.85163265306122 30.3615306122449, -99.85387755102039 30.3615306122449, -99.85387755102039 30.351877551020408))",4.375246135806646e-8
"POLYGON ((-99.85387755102039 30.3615306122449, -99.85163265306122 30.3615306122449, -99.85163265306122 30.37118367346939, -99.85387755102039 30.37118367346939, -99.85387755102039 30.3615306122449))",2.3477154551254113e-9
"POLYGON ((-99.85387755102039 30.37118367346939, -99.85163265306122 30.37118367346939, -99.85163265306122 30.38083673469388, -99.85387755102039 30.38083673469388, -99.85387755102039 30.37118367346939))",4.30508509870453e-9
"POLYGON ((-99.85387755102039 30.38083673469388, -99.85163265306122 30.38083673469388, -99.85163265306122 30.390489795918363, -99.85387755102039 30.390489795918363, -99.85387755102039 30.38083673469388))",1.5125724814053866e-7
"POLYGON ((-99.85387755102039 30.39048979591837, -99.85163265306122 30.39048979591837, -99.85163265306122 30.400142857142853, -99.85387755102039 30.400142857142853, -99.85387755102039 30.39048979591837))",3.9650763175381166e-6
"POLYGON ((-99.85387755102039 30.40014285714286, -99.85163265306122 30.40014285714286, -99.85163265306122 30.409795918367344, -99.85387755102039 30.409795918367344, -99.85387755102039 30.40014285714286))",7.629364195706906e-5
"POLYGON ((-99.85387755102039 30.40979591836735, -99.85163265306122 30.40979591836735, -99.85163265306122 30.419448979591834, -99.85387755102039 30.419448979591834, -99.85387755102039 30.40979591836735))",0.0010817456847732137
"POLYGON ((-99.85387755102039 30.41944897959184, -99.85163265306122 30.41944897959184, -99.85163265306122 30.429102040816325, -99.85387755102039 30.429102040816325, -99.85387755102039 30.41944897959184))",0.01135387536384074
"POLYGON ((-99.85387755102039 30.429102040816325, -99.85163265306122 30.429102040816325, -99.85163265306122 30.438755102040815, -99.85387755102039 30.438755102040815, -99.85387755102039 30.429102040816325))",0.08874602511956614
"POLYGON ((-99.85387755102039 30.438755102040815, -99.85163265306122 30.438755102040815, -99.85163265306122 30.448408163265306, -99.85387755102039 30.448408163265306, -99.85387755102039 30.438755102040815))",0.5228529410263583
"POLYGON ((-99.85387755102039 30.448408163265306, -99.85163265306122 30.448408163265306, -99.85163265306122 30.458061224489796, -99.85387755102039 30.458061224489796, -99.85387755102039 30.448408163265306))",2.4113041230526595
"POLYGON ((-99.85387755102039 30.458061224489796, -99.85163265306122 30.458061224489796, -99.85163265306122 30.467714285714287, -99.85387755102039 30.467714285714287, -99.85387755102039 30.458061224489796))",9.611964017768937
"POLYGON ((-99.85387755102039 30.467714285714287, -99.85163265306122 30.467714285714287, -99.85163265306122 30.477367346938777, -99.85387755102039 30.477367346938777, -99.85387755102039 30.467714285714287))",37.68940030884443
"POLYGON ((-99.85387755102039 30.477367346938777, -99.85163265306122 30.477367346938777, -99.85163265306122 30.48702040816326, -99.85387755102039 30.48702040816326, -99.85387755102039 30.477367346938777))",81.69982442493738
"POLYGON ((-99.85387755102039 30.487020408163268, -99.85163265306122 30.487020408163268, -99.85163265306122 30.49667346938775, -99.85387755102039 30.49667346938775, -99.85387755102039 30.487020408163268))",20.145396816193106
"POLYGON ((-99.85387755102039 30.49667346938776, -99.85163265306122 30.49667346938776, -99.85163265306122 30.50632653061224, -99.85387755102039 30.50632653061224, -99.85387755102039 30.49667346938776))",5.174522513943884
"POLYGON ((-99.85163265306122 30.02367346938776, -99.84938775510204 30.02367346938776, -99.84938775510204 30.033326530612243, -99.85163265306122 30.033326530612243, -99.85163265306122 30.02367346938776))",1.982738438262823e-6
"POLYGON ((-99.85163265306122 30.033326530612243, -99.84938775510204 30.033326530612243, -99.84938775510204 30.042979591836733, -99.85163265306122 30.042979591836733, -99.85163265306122 30.033326530612243))",3.674263591811463e-6
"POLYGON ((-99.85163265306122 30.042979591836733, -99.84938775510204 30.042979591836733, -99.84938775510204 30.052632653061224, -99.85163265306122 30.052632653061224, -99.85163265306122 30.042979591836733))",4.770096707563708e-6
"POLYGON ((-99.85163265306122 30.052632653061224, -99.84938775510204 30.052632653061224, -99.84938775510204 30.062285714285714, -99.85163265306122 30.062285714285714, -99.85163265306122 30.052632653061224))",4.33359043731033e-6
"POLYGON ((-99.85163265306122 30.062285714285714, -99.84938775510204 30.062285714285714, -99.84938775510204 30.071938775510205, -99.85163265306122 30.071938775510205, -99.85163265306122 30.062285714285714))",2.75622675361544e-6
"POLYGON ((-99.85163265306122 30.071938775510205, -99.84938775510204 30.071938775510205, -99.84938775510204 30.081591836734695, -99.85163265306122 30.081591836734695, -99.85163265306122 30.071938775510205))",1.2295382765827891e-6
"POLYGON ((-99.85163265306122 30.081591836734695, -99.84938775510204 30.081591836734695, -99.84938775510204 30.091244897959186, -99.85163265306122 30.091244897959186, -99.85163265306122 30.081591836734695))",3.8583990834665697e-7
"POLYGON ((-99.85163265306122 30.091244897959186, -99.84938775510204 30.091244897959186, -99.84938775510204 30.10089795918367, -99.85163265306122 30.10089795918367, -99.85163265306122 30.091244897959186))",8.547227606249495e-8
"POLYGON ((-99.85163265306122 30.100897959183676, -99.84938775510204 30.100897959183676, -99.84938775510204 30.11055102040816, -99.85163265306122 30.11055102040816, -99.85163265306122 30.100897959183676))",1.3413283055482258e-8
"POLYGON ((-99.85163265306122 30.110551020408167, -99.84938775510204 30.110551020408167, -99.84938775510204 30.12020408163265, -99.85163265306122 30.12020408163265, -99.85163265306122 30.110551020408167))",1.4960490065657684e-9
"POLYGON ((-99.85163265306122 30.120204081632657, -99.84938775510204 30.120204081632657, -99.84938775510204 30.12985714285714, -99.85163265306122 30.12985714285714, -99.85163265306122 30.120204081632657))",1.189200886917096e-10
"POLYGON ((-99.85163265306122 30.129857142857148, -99.84938775510204 30.129857142857148, -99.84938775510204 30.13951020408163, -99.85163265306122 30.13951020408163, -99.85163265306122 30.129857142857148))",6.751891880077956e-12
"POLYGON ((-99.85163265306122 30.13951020408163, -99.84938775510204 30.13951020408163, -99.84938775510204 30.14916326530612, -99.85163265306122 30.14916326530612, -99.85163265306122 30.13951020408163))",2.7428646820304723e-13
"POLYGON ((-99.85163265306122 30.14916326530612, -99.84938775510204 30.14916326530612, -99.84938775510204 30.158816326530612, -99.85163265306122 30.158816326530612, -99.85163265306122 30.14916326530612))",8.547447253761517e-15
"POLYGON ((-99.85163265306122 30.158816326530612, -99.84938775510204 30.158816326530612, -99.84938775510204 30.168469387755103, -99.85163265306122 30.168469387755103, -99.85163265306122 30.158816326530612))",4.2588489477599325e-14
"POLYGON ((-99.85163265306122 30.168469387755103, -99.84938775510204 30.168469387755103, -99.84938775510204 30.178122448979593, -99.85163265306122 30.178122448979593, -99.85163265306122 30.168469387755103))",2.2915361656654857e-12
"POLYGON ((-99.85163265306122 30.178122448979593, -99.84938775510204 30.178122448979593, -99.84938775510204 30.187775510204084, -99.85163265306122 30.187775510204084, -99.85163265306122 30.178122448979593))",8.911927139859839e-11
"POLYGON ((-99.85163265306122 30.187775510204084, -99.84938775510204 30.187775510204084, -99.84938775510204 30.197428571428567, -99.85163265306122 30.197428571428567, -99.85163265306122 30.187775510204084))",2.4946550863732464e-9
"POLYGON ((-99.85163265306122 30.197428571428574, -99.84938775510204 30.197428571428574, -99.84938775510204 30.207081632653058, -99.85163265306122 30.207081632653058, -99.85163265306122 30.197428571428574))",5.022884299776098e-8
"POLYGON ((-99.85163265306122 30.207081632653065, -99.84938775510204 30.207081632653065, -99.84938775510204 30.216734693877548, -99.85163265306122 30.216734693877548, -99.85163265306122 30.207081632653065))",7.265067425074365e-7
"POLYGON ((-99.85163265306122 30.216734693877555, -99.84938775510204 30.216734693877555, -99.84938775510204 30.22638775510204, -99.85163265306122 30.22638775510204, -99.85163265306122 30.216734693877555))",7.531897967910749e-6
"POLYGON ((-99.85163265306122 30.226387755102046, -99.84938775510204 30.226387755102046, -99.84938775510204 30.23604081632653, -99.85163265306122 30.23604081632653, -99.85163265306122 30.226387755102046))",5.577045688202586e-5
"POLYGON ((-99.85163265306122 30.23604081632653, -99.84938775510204 30.23604081632653, -99.84938775510204 30.24569387755102, -99.85163265306122 30.24569387755102, -99.85163265306122 30.23604081632653))",0.0002933844493071583
"POLYGON ((-99.85163265306122 30.24569387755102, -99.84938775510204 30.24569387755102, -99.84938775510204 30.25534693877551, -99.85163265306122 30.25534693877551, -99.85163265306122 30.24569387755102))",0.001088519957188917
"POLYGON ((-99.85163265306122 30.25534693877551, -99.84938775510204 30.25534693877551, -99.84938775510204 30.265, -99.85163265306122 30.265, -99.85163265306122 30.25534693877551))",0.002822907672176538
"POLYGON ((-99.85163265306122 30.265, -99.84938775510204 30.265, -99.84938775510204 30.27465306122449, -99.85163265306122 30.27465306122449, -99.85163265306122 30.265))",0.005068984599513804
"POLYGON ((-99.85163265306122 30.27465306122449, -99.84938775510204 30.27465306122449, -99.84938775510204 30.28430612244898, -99.85163265306122 30.28430612244898, -99.85163265306122 30.27465306122449))",0.00625499192130615
"POLYGON ((-99.85163265306122 30.28430612244898, -99.84938775510204 30.28430612244898, -99.84938775510204 30.293959183673465, -99.85163265306122 30.293959183673465, -99.85163265306122 30.28430612244898))",0.005287536197908929
"POLYGON ((-99.85163265306122 30.293959183673472, -99.84938775510204 30.293959183673472, -99.84938775510204 30.303612244897955, -99.85163265306122 30.303612244897955, -99.85163265306122 30.293959183673472))",0.0030697052669386407
"POLYGON ((-99.85163265306122 30.303612244897963, -99.84938775510204 30.303612244897963, -99.84938775510204 30.313265306122446, -99.85163265306122 30.313265306122446, -99.85163265306122 30.303612244897963))",0.001232750331951573
"POLYGON ((-99.85163265306122 30.313265306122453, -99.84938775510204 30.313265306122453, -99.84938775510204 30.322918367346936, -99.85163265306122 30.322918367346936, -99.85163265306122 30.313265306122453))",0.0003456617262452302
"POLYGON ((-99.85163265306122 30.322918367346944, -99.84938775510204 30.322918367346944, -99.84938775510204 30.332571428571427, -99.85163265306122 30.332571428571427, -99.85163265306122 30.322918367346944))",6.829491420779316e-5
"POLYGON ((-99.85163265306122 30.332571428571427, -99.84938775510204 30.332571428571427, -99.84938775510204 30.342224489795917, -99.85163265306122 30.342224489795917, -99.85163265306122 30.332571428571427))",9.579614759542578e-6
"POLYGON ((-99.85163265306122 30.342224489795917, -99.84938775510204 30.342224489795917, -99.84938775510204 30.351877551020408, -99.85163265306122 30.351877551020408, -99.85163265306122 30.342224489795917))",9.592376355090112e-7
