Metric,Value
Min Pressure (psi),2.4635064260198042e-15
Max Pressure (psi),277.2064716984428
Mean Pressure (psi),3.6314598843643746
Median Pressure (psi),0.0008377405809041955
Standard Deviation (psi),16.923307072837535
Max Pressure Latitude,30.279479591836736
Max Pressure Longitude,-99.78091836734694
