slip_pressure,probability,ID,det_slip_pressure
0.0,0.011,Fault1,589.89
0.0,0.011,Fault1,589.89
0.0,0.011,Fault1,589.89
0.0,0.011,Fault1,589.89
0.0,0.011,Fault1,589.89
0.0,0.011,Fault1,589.89
0.0,0.011,Fault1,589.89
0.0,0.011,Fault1,589.89
0.0,0.011,Fault1,589.89
0.0,0.011,Fault1,589.89
0.0,0.011,Fault1,589.89
6.028468856468995,0.012,Fault1,589.89
9.418285050616154,0.013,Fault1,589.89
11.17818571492421,0.014,Fault1,589.89
18.649940389451142,0.015,Fault1,589.89
20.586940868572068,0.016,Fault1,589.89
23.155135842254165,0.017,Fault1,589.89
23.66326256077643,0.018,Fault1,589.89
27.257022841257605,0.019,Fault1,589.89
30.09836690604713,0.02,Fault1,589.89
34.55926499441028,0.021,Fault1,589.89
38.1914548252142,0.022,Fault1,589.89
43.669290466241065,0.023,Fault1,589.89
47.37078396748962,0.024,Fault1,589.89
47.59615148780085,0.025,Fault1,589.89
47.96105345754594,0.026,Fault1,589.89
54.467925592500755,0.027,Fault1,589.89
55.79533848448047,0.028,Fault1,589.89
57.03330962727196,0.029,Fault1,589.89
66.04363569610034,0.03,Fault1,589.89
70.73255063856917,0.031,Fault1,589.89
76.02640036987417,0.032,Fault1,589.89
97.68364674243095,0.033,Fault1,589.89
97.91904975501036,0.034,Fault1,589.89
100.65264655232296,0.035,Fault1,589.89
105.1677842747979,0.036,Fault1,589.89
107.5560203902915,0.037,Fault1,589.89
108.67483291894251,0.038,Fault1,589.89
111.06628886095254,0.039,Fault1,589.89
125.98386124998136,0.04,Fault1,589.89
126.01262151081697,0.041,Fault1,589.89
130.70046283032625,0.042,Fault1,589.89
130.9148660993145,0.043,Fault1,589.89
132.93053204822806,0.044,Fault1,589.89
134.0703203292332,0.045,Fault1,589.89
135.86990694629486,0.046,Fault1,589.89
141.42113089777965,0.047,Fault1,589.89
144.26808310301402,0.048,Fault1,589.89
144.823560572704,0.049,Fault1,589.89
147.31986267059798,0.05,Fault1,589.89
149.2603212845062,0.051,Fault1,589.89
153.62434562305526,0.052,Fault1,589.89
156.89454295442602,0.053,Fault1,589.89
156.96366052008025,0.054,Fault1,589.89
158.8478760581843,0.055,Fault1,589.89
160.333170044231,0.056,Fault1,589.89
160.81128026214694,0.057,Fault1,589.89
160.90288437073954,0.058,Fault1,589.89
162.27686122074417,0.059,Fault1,589.89
168.32153981675907,0.06,Fault1,589.89
168.4099210848682,0.061,Fault1,589.89
170.7030728238452,0.062,Fault1,589.89
171.87893943081613,0.063,Fault1,589.89
175.24667189889863,0.064,Fault1,589.89
176.54441806380888,0.065,Fault1,589.89
184.36325948283604,0.066,Fault1,589.89
184.8117144864341,0.067,Fault1,589.89
185.57334921954677,0.068,Fault1,589.89
187.31789926181273,0.069,Fault1,589.89
188.95263276006116,0.07,Fault1,589.89
190.47349368326795,0.071,Fault1,589.89
193.0248524980821,0.072,Fault1,589.89
194.6392884702197,0.073,Fault1,589.89
195.480840902473,0.074,Fault1,589.89
197.58462149527313,0.075,Fault1,589.89
202.38485809825897,0.076,Fault1,589.89
202.95849352863232,0.077,Fault1,589.89
203.01503407459847,0.078,Fault1,589.89
203.40497524244427,0.079,Fault1,589.89
204.52765452265805,0.08,Fault1,589.89
205.80781377798263,0.081,Fault1,589.89
206.98164882094306,0.082,Fault1,589.89
209.5090153767981,0.083,Fault1,589.89
210.51572054910616,0.084,Fault1,589.89
213.4751092727306,0.085,Fault1,589.89
213.82187562436886,0.086,Fault1,589.89
214.0718465247052,0.087,Fault1,589.89
217.83968399862303,0.088,Fault1,589.89
221.20763711351228,0.089,Fault1,589.89
221.58637420966858,0.09,Fault1,589.89
225.0076899509363,0.091,Fault1,589.89
225.3691459457122,0.092,Fault1,589.89
227.39614972514482,0.093,Fault1,589.89
229.91131812598474,0.094,Fault1,589.89
230.0384245611663,0.095,Fault1,589.89
231.03207138783978,0.096,Fault1,589.89
231.21399368878292,0.097,Fault1,589.89
232.23344829978473,0.098,Fault1,589.89
233.09964297890272,0.099,Fault1,589.89
